,Unnamed: 0,vendor,cost,distance,passengers
0,0,2,10.5,2.9,1
1,1,2,21.5,7.49,1
2,2,2,7.5,1.1,1
3,3,2,22.5,4.52,3
4,4,1,8.5,1.4,1
5,5,2,23.5,5.56,1
6,6,2,8.0,1.63,1
7,7,2,8.0,1.41,1
8,8,1,6.5,1.1,1
9,9,2,5.0,0.76,1
10,10,2,40.0,14.4,1
11,11,2,6.0,1.02,1
12,12,2,9.5,2.04,3
13,13,2,6.5,1.11,1
14,14,2,10.0,2.03,1
15,15,2,33.0,11.18,1
16,16,1,9.0,1.8,1
17,17,2,8.5,1.82,1
18,18,2,10.0,2.28,1
19,19,1,6.0,0.8,1
20,20,2,6.0,1.13,1
21,21,2,15.5,3.37,1
22,22,1,7.5,1.4,1
23,23,1,19.0,5.6,1
24,24,2,5.0,0.76,1
25,25,1,22.0,5.2,1
26,26,2,5.5,0.71,1
27,27,2,20.0,6.49,1
28,28,1,13.0,2.5,1
29,29,1,11.0,1.9,1
30,30,2,6.5,0.64,1
31,31,2,6.0,1.3,1
32,32,2,6.5,1.07,1
33,33,2,8.5,1.57,1
34,34,1,7.0,1.4,1
35,35,2,10.5,2.44,4
36,36,2,20.0,5.59,1
37,37,2,5.5,0.87,1
38,38,2,5.5,1.09,1
39,39,2,21.0,6.48,1
40,40,2,7.5,1.52,1
41,41,2,12.0,2.04,1
42,42,2,24.0,5.82,1
43,43,2,46.5,16.85,1
44,44,1,5.0,0.9,1
45,45,2,4.5,0.46,1
46,46,2,6.5,1.14,1
47,47,2,6.0,1.34,1
48,48,1,4.0,0.5,1
49,49,2,15.5,4.4,1
50,50,1,14.5,3.9,1
51,51,2,11.0,2.55,1
52,52,2,6.0,0.98,1
53,53,1,4.0,0.5,1
54,54,2,6.5,0.72,1
55,55,2,32.0,11.29,1
56,56,2,9.5,2.15,1
57,57,1,13.5,2.9,1
58,58,1,7.5,1.5,1
59,59,2,4.5,0.5,2
60,60,2,25.5,8.47,1
61,61,2,15.5,3.91,1
62,62,2,15.0,3.7,5
63,63,2,20.0,5.03,1
64,64,1,2.5,0.0,1
65,65,2,15.5,3.73,2
66,66,2,4.0,0.43,1
67,67,2,6.0,0.83,1
68,68,1,6.0,1.2,2
69,69,1,32.0,11.7,1
70,70,2,9.0,2.11,1
71,71,2,4.5,0.78,1
72,72,2,-5.0,0.76,1
73,73,1,9.0,1.5,1
74,74,2,16.5,4.47,1
75,75,1,15.0,3.8,1
76,76,2,5.5,0.91,1
77,77,2,25.0,6.75,1
78,78,2,13.5,2.86,1
79,79,2,4.5,0.7,1
80,80,2,7.0,0.61,1
81,81,2,5.0,0.84,1
82,82,2,17.0,4.2,1
83,83,2,5.5,1.05,1
84,84,2,6.0,0.85,1
85,85,2,6.5,0.93,1
86,86,2,23.0,6.49,1
87,87,2,11.5,2.82,1
88,88,1,8.0,2.2,1
89,89,2,3.0,0.1,1
90,90,2,5.0,0.7,1
91,91,2,6.0,0.77,1
92,92,1,6.5,0.9,2
93,93,2,20.5,6.49,2
94,94,2,6.5,1.22,1
95,95,2,7.0,1.39,1
96,96,2,26.5,6.44,1
97,97,2,6.0,1.02,1
98,98,2,9.5,2.39,2
99,99,2,5.0,0.96,1
100,100,2,6.5,1.15,2
101,101,2,22.0,7.14,1
102,102,1,8.5,1.7,1
103,103,2,28.5,6.3,1
104,104,2,7.5,1.82,1
105,105,2,4.5,0.49,1
106,106,2,7.0,1.14,1
107,107,2,17.5,5.12,2
108,108,1,7.5,1.4,1
109,109,2,5.0,0.62,1
110,110,2,10.0,1.31,3
111,111,2,9.0,1.43,1
112,112,2,7.0,1.15,5
113,113,1,8.5,1.5,1
114,114,1,20.5,5.0,2
115,115,2,11.0,2.96,1
116,116,2,6.5,1.04,1
117,117,2,6.0,0.86,1
118,118,2,6.0,1.1,1
119,119,2,30.0,9.34,1
120,120,1,13.0,3.5,1
121,121,2,6.0,1.13,1
122,122,2,4.0,0.52,1
123,123,1,52.0,18.6,1
124,124,2,8.0,1.44,1
125,125,2,11.0,2.47,2
126,126,2,8.0,1.28,1
127,127,2,5.5,0.88,2
128,128,2,6.5,0.96,1
129,129,2,6.0,0.78,1
130,130,1,10.0,1.9,1
131,131,2,9.0,2.18,1
132,132,2,5.5,0.97,1
133,133,2,6.5,1.08,1
134,134,2,11.5,2.85,1
135,135,2,5.5,1.17,1
136,136,2,4.0,0.55,1
137,137,2,5.0,0.57,1
138,138,2,8.5,1.34,1
139,139,2,22.0,7.28,1
140,140,2,16.5,4.66,1
141,141,1,16.0,3.6,1
142,142,2,7.0,1.3,1
143,143,1,6.0,1.0,1
144,144,2,7.0,1.24,1
145,145,2,12.5,2.98,1
146,146,2,5.0,0.81,2
147,147,2,22.0,6.43,1
148,148,1,13.0,3.2,2
149,149,1,6.5,1.0,1
150,150,2,14.5,3.85,1
151,151,2,6.5,1.09,1
152,152,2,4.5,0.72,1
153,153,2,3.5,0.22,1
154,154,2,12.0,2.86,1
155,155,2,21.0,5.35,1
156,156,2,16.0,3.45,1
157,157,2,7.5,1.3,1
158,158,1,5.0,0.6,1
159,159,1,10.0,1.6,1
160,160,2,6.5,0.88,1
161,161,2,13.0,3.16,1
162,162,1,7.5,1.2,1
163,163,2,5.5,0.85,3
164,164,2,12.0,2.53,1
165,165,1,7.5,1.2,1
166,166,2,29.5,7.11,1
167,167,2,5.5,0.7,1
168,168,2,13.5,2.18,1
169,169,2,4.5,0.59,5
170,170,2,5.5,0.95,5
171,171,1,5.5,0.8,1
172,172,2,8.5,2.2,1
173,173,2,27.5,9.67,1
174,174,2,23.5,6.43,1
175,175,2,12.0,2.92,1
176,176,2,7.5,1.55,1
177,177,2,25.5,6.83,1
178,178,2,4.5,0.8,3
179,179,1,5.0,0.4,1
180,180,2,10.5,1.88,1
181,181,1,12.5,2.9,1
182,182,1,4.0,0.5,1
183,183,2,52.0,0.0,1
184,184,2,10.5,2.38,4
185,185,2,5.0,0.84,1
186,186,1,34.0,9.7,1
187,187,2,15.5,4.46,5
188,188,1,22.5,5.0,2
189,189,2,6.0,1.24,1
190,190,2,11.5,2.71,1
191,191,2,4.0,0.62,2
192,192,2,14.5,2.51,1
193,193,2,26.0,8.33,1
194,194,2,18.5,3.66,1
195,195,2,6.5,1.17,5
196,196,1,6.0,1.2,1
197,197,2,8.0,1.51,1
198,198,2,12.0,2.63,1
199,199,2,8.5,1.94,1
200,200,2,4.0,0.55,1
201,201,2,12.5,3.67,5
202,202,2,23.5,6.81,1
203,203,1,7.0,1.4,1
204,204,2,7.0,1.46,1
205,205,1,6.0,1.3,2
206,206,2,4.0,0.51,1
207,207,2,4.5,0.69,1
208,208,2,8.5,0.31,1
209,209,2,8.5,1.3,1
210,210,2,11.5,2.62,1
211,211,2,15.5,1.87,1
212,212,2,34.5,9.95,1
213,213,1,4.0,0.5,1
214,214,2,9.5,2.54,1
215,215,1,19.0,6.1,1
216,216,2,6.5,1.02,1
217,217,2,5.0,0.89,2
218,218,2,6.0,0.96,1
219,219,2,4.0,0.52,2
220,220,2,9.5,2.22,1
221,221,2,11.0,2.06,1
222,222,2,19.0,6.62,1
223,223,2,9.0,1.54,1
224,224,2,24.0,5.21,1
225,225,2,16.0,3.94,1
226,226,2,15.0,3.95,1
227,227,2,20.5,4.2,1
228,228,2,33.5,10.32,1
229,229,1,22.0,4.6,1
230,230,2,7.5,1.46,1
231,231,2,12.5,3.05,1
232,232,2,22.5,6.51,1
233,233,2,18.0,3.67,1
234,234,2,8.5,1.33,1
235,235,2,9.0,1.8,1
236,236,1,10.5,2.1,1
237,237,2,8.0,1.54,1
238,238,2,8.5,1.36,1
239,239,2,15.0,4.5,1
240,240,1,24.0,5.0,1
241,241,2,5.0,0.65,1
242,242,1,36.5,10.6,1
243,243,1,52.0,18.2,3
244,244,1,16.5,5.1,1
245,245,2,17.0,4.93,1
246,246,1,4.5,0.5,1
247,247,2,5.5,0.79,1
248,248,1,7.5,1.3,1
249,249,1,4.5,0.3,1
250,250,1,13.5,3.1,1
251,251,2,5.0,0.76,1
252,252,2,9.5,2.14,1
253,253,2,11.5,2.53,3
254,254,1,10.5,2.2,1
255,255,2,30.0,10.14,1
256,256,2,6.0,1.06,1
257,257,2,28.0,8.02,1
258,258,2,7.0,1.04,1
259,259,1,7.5,1.7,2
260,260,1,10.0,5.6,1
261,261,2,20.5,4.98,1
262,262,2,3.0,0.27,1
263,263,2,5.5,0.86,1
264,264,2,18.5,5.31,1
265,265,2,6.0,1.02,1
266,266,2,6.0,0.93,1
267,267,2,4.5,0.66,1
268,268,2,6.5,1.28,1
269,269,1,0.0,1.4,1
270,270,2,7.5,1.27,2
271,271,2,58.5,16.66,1
272,272,2,9.0,1.63,2
273,273,2,7.5,1.41,1
274,274,2,5.5,0.87,1
275,275,1,5.0,1.0,1
276,276,2,17.5,3.41,1
277,277,2,13.0,2.85,3
278,278,2,10.0,2.49,1
279,279,1,5.5,1.2,1
280,280,2,11.0,2.52,1
281,281,2,8.5,1.75,1
282,282,1,3.5,0.4,1
283,283,2,4.5,0.64,1
284,284,2,7.0,1.35,1
285,285,1,3.5,0.3,1
286,286,2,12.0,2.32,1
287,287,2,11.0,2.9,1
288,288,2,16.0,4.52,1
289,289,2,28.0,8.02,1
290,290,2,10.0,2.34,2
291,291,2,12.5,2.5,1
292,292,2,5.0,0.64,1
293,293,2,7.0,1.17,1
294,294,1,5.5,0.7,1
295,295,2,19.5,3.91,1
296,296,2,11.0,0.04,1
297,297,1,15.0,3.3,1
298,298,2,10.0,2.57,1
299,299,1,7.5,1.3,1
300,300,1,12.5,2.1,1
301,301,2,4.5,0.48,1
302,302,2,28.0,9.5,1
303,303,2,8.5,2.37,1
304,304,2,39.0,12.09,1
305,305,2,5.0,0.68,1
306,306,2,10.0,1.82,1
307,307,2,9.0,1.84,5
308,308,1,6.5,1.1,1
309,309,2,5.5,0.86,1
310,310,2,16.0,3.2,1
311,311,2,2.5,0.0,6
312,312,2,10.5,2.03,1
313,313,2,37.5,11.39,1
314,314,1,7.0,1.4,1
315,315,2,4.0,0.42,6
316,316,1,8.0,1.7,2
317,317,2,23.0,4.34,2
318,318,1,3.5,0.5,1
319,319,2,33.0,11.5,3
320,320,2,5.5,0.84,1
321,321,2,11.5,2.65,1
322,322,2,6.5,1.41,1
323,323,2,4.5,0.81,1
324,324,2,18.0,5.12,1
