vendorID,tpepPickupDateTime,tpepDropoffDateTime,passengerCount,tripDistance,puLocationId,doLocationId,startLon,startLat,endLon,endLat,rateCodeId,storeAndFwdFlag,paymentType,fareAmount,extra,mtaTax,improvementSurcharge,tipAmount,tollsAmount,totalAmount
2,2016-01-01 02:12:14,2016-01-01 02:56:03,1,10.66,,,0.0,0.0,0.0,0.0,1,N,1,37.0,0.5,0.5,0.3,7.66,0.0,45.96
1,2016-01-15 19:53:25,2016-01-15 20:08:52,2,1.5,,,-73.97860717773438,40.785972595214844,-73.97930145263672,40.765403747558594,1,N,1,11.0,1.0,0.5,0.3,2.0,0.0,14.8
2,2016-01-14 23:11:32,2016-01-14 23:32:13,1,2.02,,,-74.00431823730469,40.74229049682617,-73.99220275878906,40.72129821777344,1,N,2,14.0,0.5,0.5,0.3,0.0,0.0,15.3
2,2016-01-03 12:26:58,2016-01-03 12:35:25,3,1.14,,,-74.00814819335938,40.74714279174805,-73.99390411376953,40.74151611328125,1,N,1,7.5,0.0,0.5,0.3,1.7,0.0,10.0
2,2016-01-16 00:53:15,2016-01-16 01:00:19,1,1.36,,,-73.98773193359375,40.7652473449707,-73.974609375,40.77823257446289,1,N,1,7.0,0.5,0.5,0.3,2.49,0.0,10.79
2,2016-01-22 16:03:20,2016-01-22 16:09:50,2,1.01,,,-73.97898864746094,40.77830123901367,-73.97797393798828,40.788963317871094,1,N,1,6.5,1.0,0.5,0.3,1.66,0.0,9.96
2,2016-01-26 08:35:16,2016-01-26 08:41:44,1,0.7,,,-73.99695587158203,40.725440979003906,-74.00537872314453,40.72800827026367,1,N,1,5.5,0.0,0.5,0.3,1.26,0.0,7.56
2,2016-01-14 14:55:01,2016-01-14 14:58:42,5,0.44,,,-73.9555892944336,40.779354095458984,-73.94718933105469,40.775936126708984,1,N,2,4.5,0.0,0.5,0.3,0.0,0.0,5.3
2,2016-01-14 11:58:47,2016-01-14 12:02:37,3,0.54,,,-73.96797180175781,40.76274871826172,-73.9727783203125,40.755977630615234,1,N,1,4.5,0.0,0.5,0.3,1.32,0.0,6.62
1,2016-01-21 21:26:56,2016-01-21 21:53:31,1,6.5,,,-73.95895385742188,40.77169418334961,-74.01235961914062,40.716888427734375,1,N,1,23.5,0.5,0.5,0.3,6.2,0.0,31.0
2,2016-01-22 19:12:56,2016-01-22 19:27:03,2,2.22,,,-73.97891235351562,40.756591796875,-73.97357177734375,40.738128662109375,1,N,2,11.0,1.0,0.5,0.3,0.0,0.0,12.8
1,2016-01-01 02:42:42,2016-01-01 02:59:42,3,3.6,,,-73.99639129638672,40.76362228393555,-73.98332214355469,40.726558685302734,1,N,2,14.0,0.5,0.5,0.3,0.0,0.0,15.3
1,2016-01-10 10:11:38,2016-01-10 10:19:06,1,2.2,,,-73.98216247558594,40.76863479614258,-73.99869537353516,40.73994445800781,1,N,2,8.5,0.0,0.5,0.3,0.0,0.0,9.3
2,2016-01-15 16:14:26,2016-01-15 16:16:44,1,0.54,,,-73.99327850341797,40.74747085571289,-73.99884796142578,40.74229049682617,1,N,1,4.0,1.0,0.5,0.3,1.16,0.0,6.96
1,2016-01-30 00:50:44,2016-01-30 01:03:54,1,2.7,,,-73.987060546875,40.73330307006836,-74.00274658203125,40.760597229003906,1,N,1,12.0,0.5,0.5,0.3,2.0,0.0,15.3
2,2016-01-01 22:42:36,2016-01-01 22:55:32,1,2.8,,,-73.99337005615234,40.72469711303711,-73.96610260009766,40.7537841796875,1,N,1,11.5,0.5,0.5,0.3,1.5,0.0,14.3
1,2016-01-23 02:50:54,2016-01-23 02:55:40,1,0.8,,,-73.90274810791016,40.74598693847656,-73.88660430908203,40.74463653564453,1,N,2,5.0,0.5,0.5,0.3,0.0,0.0,6.3
1,2016-01-11 08:20:44,2016-01-11 08:40:15,1,1.9,,,-73.98091888427734,40.77404022216797,-73.96331787109375,40.75770950317383,1,N,1,13.0,0.0,0.5,0.3,2.2,0.0,16.0
1,2016-01-11 17:42:59,2016-01-11 17:48:30,1,0.6,,,-74.00117492675781,40.72742462158203,-73.99364471435547,40.72173309326172,1,N,2,5.5,1.0,0.5,0.3,0.0,0.0,7.3
1,2016-01-21 22:51:58,2016-01-21 23:00:27,2,3.1,,,-74.00470733642578,40.708335876464844,-73.99041748046875,40.72071075439453,1,N,1,11.5,0.5,0.5,0.3,2.56,0.0,15.36
1,2016-01-09 13:44:43,2016-01-09 13:52:16,1,1.5,,,-73.97982788085938,40.78609848022461,-73.96260070800781,40.79909896850586,1,N,2,8.0,0.0,0.5,0.3,0.0,0.0,8.8
2,2016-01-21 13:57:38,2016-01-21 14:13:05,1,1.32,,,-73.98826599121094,40.756103515625,-73.97513580322266,40.76520538330078,1,N,1,11.0,0.0,0.5,0.3,2.95,0.0,14.75
1,2016-01-26 15:28:19,2016-01-26 15:33:44,1,0.6,,,-73.96330261230469,40.77767562866211,-73.9664535522461,40.770591735839844,1,N,1,5.5,0.0,0.5,0.3,1.25,0.0,7.55
1,2016-01-25 18:39:53,2016-01-25 18:54:55,1,1.8,,,-73.99009704589844,40.73517990112305,-73.99633026123047,40.752437591552734,1,N,2,11.0,1.0,0.5,0.3,0.0,0.0,12.8
1,2016-01-01 02:19:16,2016-01-01 02:23:45,2,0.9,,,-73.98625946044922,40.72826385498047,-73.97545623779297,40.733070373535156,1,N,2,5.5,0.5,0.5,0.3,0.0,0.0,6.8
2,2016-01-05 01:26:30,2016-01-05 01:33:42,6,2.2,,,-73.98429107666016,40.75471115112305,-74.0049819946289,40.729698181152344,1,N,1,8.5,0.5,0.5,0.3,1.96,0.0,11.76
2,2016-01-20 21:07:15,2016-01-20 21:11:56,1,0.75,,,-73.96292114257812,40.77519607543945,-73.95308685302734,40.77680969238281,1,N,1,5.0,0.5,0.5,0.3,1.26,0.0,7.56
1,2016-01-13 13:50:22,2016-01-13 13:52:49,1,0.5,,,-73.9573745727539,40.77424240112305,-73.9561767578125,40.77967071533203,1,N,1,4.0,0.0,0.5,0.3,1.0,0.0,5.8
1,2016-01-27 21:37:35,2016-01-27 21:43:22,2,0.6,,,-73.98764038085938,40.75613021850586,-73.99121856689453,40.75043869018555,1,N,2,5.5,0.5,0.5,0.3,0.0,0.0,6.8
1,2016-01-21 13:23:38,2016-01-21 13:33:24,1,1.9,,,-73.960693359375,40.77007293701172,-73.97855377197266,40.77772521972656,1,N,1,9.0,0.0,0.5,0.3,1.95,0.0,11.75
1,2016-01-17 22:06:42,2016-01-17 22:09:33,1,0.9,,,-73.98100280761719,40.738040924072266,-73.98897552490234,40.72695541381836,1,N,1,4.5,0.5,0.5,0.3,1.15,0.0,6.95
2,2016-01-01 01:44:38,2016-01-01 01:54:04,2,0.78,,,-73.97884368896484,40.76170349121094,-73.98040008544922,40.75428771972656,1,N,2,7.5,0.5,0.5,0.3,0.0,0.0,8.8
2,2016-01-17 08:45:47,2016-01-17 08:49:02,1,0.84,,,-73.9576416015625,40.769893646240234,-73.96157836914062,40.77718734741211,1,N,1,5.0,0.0,0.5,0.3,1.16,0.0,6.96
2,2016-01-06 22:48:37,2016-01-06 22:55:38,5,1.62,,,-73.9999008178711,40.728519439697266,-74.01004791259766,40.7099494934082,1,N,2,7.5,0.5,0.5,0.3,0.0,0.0,8.8
1,2016-01-27 10:15:06,2016-01-27 10:29:10,1,1.5,,,-73.97982025146484,40.75499725341797,-73.98660278320312,40.73629379272461,1,N,2,10.0,0.0,0.5,0.3,0.0,0.0,10.8
1,2016-01-19 15:12:49,2016-01-19 15:15:47,1,0.3,,,-73.9866714477539,40.7400016784668,-73.98297119140625,40.742977142333984,1,N,1,4.0,0.0,0.5,0.3,1.0,0.0,5.8
1,2016-01-29 00:05:36,2016-01-29 00:17:53,1,2.1,,,-74.00547790527344,40.74081039428711,-73.97915649414062,40.750213623046875,1,N,1,10.0,0.5,0.5,0.3,2.25,0.0,13.55
1,2016-01-12 08:11:31,2016-01-12 08:40:13,1,6.9,,,-73.95289611816406,40.77600860595703,-74.00418090820312,40.70741653442383,1,N,1,26.5,0.0,0.5,0.3,3.85,0.0,31.15
1,2016-01-27 08:35:38,2016-01-27 08:47:41,1,1.0,,,0.0,0.0,0.0,0.0,1,N,1,8.5,0.0,0.5,0.3,1.85,0.0,11.15
